edu_course_id,name,year_to,clevel,class_size
30,ĐD601-K15,"2,027",2,13
87,SĐ601-K15,"2,027",2,15
122,SĐ501-K15,"2,026",1,24
154,SĐ601-K16,"2,028",2,14
165,SĐ501-K16,"2,027",1,34
168,ĐD601-K16,"2,028",2,19
,HH601-K16,"2,028",2,4
