edu_course_id,name,year_to,clevel,class_size
27,CB601-K15,"2,027",2,20
28,DL601-K14,"2,026",2,4
29,DL601-K15,"2,027",2,10
108,CB501-K15,"2,026",1,15
110,DL501-K15,"2,026",1,9
158,CB601-K16,"2,028",2,22
164,CB501-K16,"2,027",1,13
169,DL601-K16,"2,028",2,13
177,MK601-K16,"2,028",2,5
